step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
4100,0.008199999999999999,404.99334239959717,74.01693725585938,479.01027965545654,162.29637102075003,45.54308485984802
4150,0.0083,403.36593317985535,76.17234802246094,479.5382812023163,167.02252368860843,46.08119201660156
4200,0.0084,407.6350200176239,71.83789825439453,479.47291827201843,157.5184089034047,46.64115786552429
4250,0.008499999999999999,397.1392138004303,81.17662811279297,478.31584191322327,177.99537028755338,47.19356298446655
4300,0.0086,405.4990711212158,73.70956420898438,479.2086353302002,161.62239649671696,47.72778391838074
4350,0.0087,406.17632126808167,73.11681365966797,479.29313492774963,160.3226769103463,48.262078046798706
4400,0.008799999999999999,405.7771773338318,74.28443908691406,480.06161642074585,162.88292023544543,48.79718208312988
4450,0.0089,403.7307996749878,75.68489074707031,479.4156904220581,165.95367985695827,49.369845151901245
4500,0.009,399.21168327331543,79.88018035888672,479.09186363220215,175.15265923414069,49.92046499252319
4550,0.0091,405.092009305954,74.01929473876953,479.1113040447235,162.3015402554583,50.47263503074646
4600,0.0092,398.542014837265,80.8222885131836,479.3643033504486,177.21841256331314,51.01184105873108
4650,0.0093,405.25965654850006,74.09980010986328,479.35945665836334,162.47806376562502,51.551066875457764
4700,0.0094,401.70380449295044,77.71109008789062,479.41489458084106,170.39651162184248,52.08488607406616
4750,0.0095,401.96905851364136,77.22000122070312,479.1890597343445,169.31970482669354,52.62272596359253
4800,0.0096,400.3253643512726,78.4937744140625,478.8191387653351,172.11269754498346,53.202954053878784
4850,0.0097,398.6120111942291,80.19236755371094,478.80437874794006,175.83718970348414,53.77447509765625
4900,0.0098,396.87019968032837,82.0055923461914,478.8757920265198,179.81303380855937,54.359774112701416
4950,0.009899999999999999,401.3657851219177,78.13697052001953,479.50275564193726,171.33033638122618,54.89666700363159
5000,0.01,400.3599591255188,77.86127471923828,478.2212338447571,170.72582031191374,55.75262188911438
5050,0.0101,401.9609308242798,77.2280044555664,479.1889352798462,169.33725345843774,56.33954095840454
5100,0.010199999999999999,399.6186943054199,80.18313598632812,479.80183029174805,175.81694771643885,56.88000178337097
5150,0.0103,397.6060080528259,80.97781372070312,478.58382177352905,177.5594314938238,57.46263408660889
5200,0.0104,402.51335740089417,76.39125061035156,478.9046080112457,167.50250971530514,58.009039878845215
5250,0.010499999999999999,395.51458263397217,84.07572174072266,479.5903043746948,184.35219066551522,58.605233907699585
5300,0.0106,396.05337953567505,82.87818145751953,478.9315609931946,181.72635326504047,59.13781476020813
5350,0.0107,393.2966618537903,85.08509826660156,478.38176012039185,186.56544283747957,59.689834117889404
5400,0.010799999999999999,396.21333742141724,83.3963851928711,479.60972261428833,182.8626146237918,60.46750092506409
5450,0.0109,390.4068503379822,87.18302917480469,477.58987951278687,191.16555986038,61.03122305870056
5500,0.011,395.29592180252075,83.408203125,478.70412492752075,182.88852771299275,61.76176595687866
5550,0.011099999999999999,386.8540394306183,92.8807373046875,479.7347767353058,203.65888080689354,62.4613299369812
5600,0.0112,389.5676715373993,89.35514831542969,478.922819852829,195.92834885189885,63.02992606163025
5650,0.0113,386.35873460769653,92.27490234375,478.63363695144653,202.3304711314463,63.584203004837036
5700,0.011399999999999999,381.33014011383057,98.07572174072266,479.4058618545532,215.04988336301508,64.1613519191742
5750,0.0115,374.12147855758667,104.84947967529297,478.97095823287964,229.9026504689216,64.85680294036865
5800,0.0116,341.62696504592896,136.36831665039062,477.9952816963196,299.0137627292176,65.44825983047485
5850,0.0117,358.1321077346802,121.39450073242188,479.52660846710205,266.180791332165,65.99624300003052
5900,0.0118,353.9273319244385,126.0301284790039,479.9574604034424,276.34529676249207,66.55553889274597
5950,0.011899999999999999,346.60150814056396,132.37063598632812,478.9721441268921,290.2480789772085,67.19370102882385
6000,0.012,347.0130753517151,131.74066162109375,478.75373697280884,288.8667390149751,67.76763796806335
6050,0.0121,348.62609672546387,129.51564025878906,478.14173698425293,283.9879517274464,68.29591608047485
6100,0.012199999999999999,354.7581090927124,124.66062927246094,479.41873836517334,273.3424063487831,68.84550094604492
6150,0.0123,343.129159450531,135.8779754638672,479.0071349143982,297.93859536773016,69.38559794425964
6200,0.0124,350.98251247406006,127.91169738769531,478.89420986175537,280.47099848736195,69.9291000366211
6250,0.012499999999999999,361.72836542129517,117.20799255371094,478.9363579750061,257.00106693604795,70.46637296676636
6300,0.0126,346.32235765457153,131.41676330566406,477.7391209602356,288.15652966123946,71.00372314453125
6350,0.0127,354.3875503540039,124.9158935546875,479.3034439086914,273.90212238395725,71.5345869064331
6400,0.012799999999999999,348.6487030982971,130.33413696289062,478.98284006118774,285.7826631771911,72.05180978775024
6450,0.0129,363.2102417945862,116.50787353515625,479.71811532974243,255.46592133010031,72.56947588920593
6500,0.013,346.91493558883667,131.38796997070312,478.3029055595398,288.0933947363561,73.0838029384613
6550,0.013099999999999999,345.40844917297363,132.8640899658203,478.27253913879395,291.3300717359806,73.59973883628845
6600,0.0132,356.1807689666748,122.08372497558594,478.26449394226074,267.6920480476162,74.13260388374329
6650,0.0133,347.32322216033936,131.37831115722656,478.7015333175659,288.0722159300757,74.64632606506348
6700,0.013399999999999999,353.5960555076599,126.05274200439453,479.64879751205444,276.3948812662955,75.15957593917847
6750,0.0135,348.75656938552856,130.1824493408203,478.9390187263489,285.4500588908819,75.70503902435303
6800,0.0136,363.7929711341858,116.14930725097656,479.94227838516235,254.679695786998,76.28306794166565
6850,0.013699999999999999,354.0573101043701,124.11211395263672,478.16942405700684,272.1396810110806,76.80533409118652
6900,0.0138,357.8280563354492,120.52047729492188,478.3485336303711,264.26432683968017,77.32210397720337
6950,0.0139,345.9034352302551,132.1549835205078,478.05841875076294,289.7752194682649,77.85614800453186
7000,0.013999999999999999,352.8921203613281,126.53861999511719,479.4307403564453,277.4602622125586,78.38354301452637
7050,0.0141,352.9700403213501,126.22708892822266,479.19712924957275,276.7771704298977,78.91754102706909
7100,0.014199999999999999,354.51040172576904,123.91754150390625,478.4279432296753,271.71304349404284,79.48403215408325
