step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
2450,0.0049,-406760.9375,13.201587677001953,-406747.735912323,210.89971798992923,213.2356243133545
2500,0.005,-406759.15625,11.37326717376709,-406747.78298282623,181.6916948368379,216.99689078330994
2550,0.0050999999999999995,-406758.65625,11.12350845336914,-406747.53274154663,177.70171688977516,221.2742121219635
2600,0.0052,-406756.59375,9.470024108886719,-406747.1237258911,151.28675904651527,225.56495451927185
2650,0.0053,-406756.5625,9.28931713104248,-406747.27318286896,148.39990546506658,229.8505585193634
2700,0.005399999999999999,-406756.90625,9.614217758178711,-406747.2920322418,153.59030015957373,234.01622223854065
2750,0.0055,-406759.15625,11.898307800292969,-406747.2579421997,190.0793920424145,238.2458097934723
2800,0.0056,-406757.65625,10.376879692077637,-406747.2793703079,165.77407613533313,242.7416865825653
2850,0.005699999999999999,-406757.34375,9.705482482910156,-406747.6382675171,155.04828424294433,246.95390701293945
2900,0.0058,-406758.0,10.485184669494629,-406747.5148153305,167.5042838764778,251.0884268283844
2950,0.0059,-406757.84375,10.420244216918945,-406747.4235057831,166.46683872446712,255.36947989463806
3000,0.006,-406756.40625,9.406225204467773,-406747.00002479553,150.2675505028746,259.89197301864624
3050,0.0060999999999999995,-406759.21875,11.91104793548584,-406747.3077020645,190.28291990474963,264.29756784439087
3100,0.0062,-406758.4375,10.65589714050293,-406747.7816028595,170.2314719143026,269.035879611969
3150,0.0063,-406758.53125,10.850404739379883,-406747.6808452606,173.3387949692038,273.4704840183258
3200,0.0063999999999999994,-406757.625,10.264551162719727,-406747.3604488373,163.97959082467034,277.8035514354706
3250,0.0065,-406758.46875,11.260309219360352,-406747.20844078064,179.88715425338967,282.1308100223541
3300,0.0066,-406758.15625,10.73312759399414,-406747.423122406,171.46525388508064,286.60264587402344
3350,0.006699999999999999,-406757.3125,9.668432235717773,-406747.6440677643,154.45639432216285,290.95959281921387
3400,0.0068,-406758.8125,11.126852989196777,-406747.6856470108,177.75514695289436,295.3980462551117
3450,0.0069,-406756.59375,9.45743179321289,-406747.1363182068,151.08559264975855,299.80602860450745
3500,0.006999999999999999,-406758.09375,10.876836776733398,-406747.21691322327,173.76105548514664,304.31121349334717
3550,0.0070999999999999995,-406759.0,11.573663711547852,-406747.42633628845,184.89309563333052,308.62719106674194
3600,0.0072,-406759.96875,12.570871353149414,-406747.39787864685,200.82381665998,312.9638760089874
3650,0.0073,-406757.5,10.234106063842773,-406747.26589393616,163.49322032708918,317.39141035079956
3700,0.0073999999999999995,-406759.3125,12.12593936920166,-406747.1865606308,193.71588144528232,321.7380590438843
3750,0.0075,-406758.25,10.913925170898438,-406747.3360748291,174.3535548164,326.08037304878235
3800,0.0076,-406756.53125,9.256053924560547,-406747.27519607544,147.8685147688777,330.40788984298706
3850,0.007699999999999999,-406756.78125,9.841375350952148,-406746.93987464905,157.21921763732888,334.94177317619324
