#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
20.8%	10400	20.79999999999935	780.0097045898438	291.5791254747694	1.3e+03	1.3661308288574219	0:05
21.0%	10500	20.99999999999924	791.2923583984375	313.2575144713719	1.3e+03	1.3789329528808594	0:05
21.2%	10600	21.19999999999913	753.542236328125	325.49507229160423	1.3e+03	1.39302396774292	0:05
21.4%	10700	21.399999999999018	784.8494873046875	296.4699945620246	1.3e+03	1.4070508480072021	0:05
21.6%	10800	21.599999999998907	798.5391845703125	287.03931205913506	1.3e+03	1.4193971157073975	0:05
21.8%	10900	21.799999999998796	752.3073120117188	303.42577759155336	1.3e+03	1.4316139221191406	0:05
22.0%	11000	21.999999999998685	744.970458984375	264.3235768926624	1.3e+03	1.44553804397583	0:05
22.2%	11100	22.199999999998575	724.0006713867188	305.45658540047845	1.3e+03	1.4605019092559814	0:05
22.4%	11200	22.399999999998464	785.617919921875	304.8836864302151	1.3e+03	1.4724090099334717	0:05
22.6%	11300	22.599999999998353	759.8306274414062	284.3967511657274	1.3e+03	1.484489917755127	0:05
22.8%	11400	22.799999999998242	745.6427001953125	275.5136543107864	1.3e+03	1.4965038299560547	0:05
23.0%	11500	22.99999999999813	766.8045654296875	282.6161072708449	1.31e+03	1.508673906326294	0:05
23.2%	11600	23.19999999999802	741.6568603515625	299.1609569057637	1.31e+03	1.521054744720459	0:05
23.4%	11700	23.39999999999791	820.7597045898438	287.65328444154596	1.31e+03	1.5350351333618164	0:05
23.6%	11800	23.5999999999978	771.4837646484375	284.18448093754535	1.31e+03	1.549057960510254	0:05
23.8%	11900	23.799999999997688	774.689697265625	286.5836100218308	1.31e+03	1.561690092086792	0:05
24.0%	12000	23.999999999997577	733.9443969726562	295.5626896249045	1.3e+03	1.5758719444274902	0:05
24.2%	12100	24.199999999997466	781.5560302734375	288.45320194674616	1.3e+03	1.5901060104370117	0:05
24.4%	12200	24.399999999997355	802.231201171875	289.84957249805973	1.3e+03	1.6041357517242432	0:05
24.6%	12300	24.599999999997245	757.1150512695312	307.186476779299	1.3e+03	1.6168079376220703	0:04
24.8%	12400	24.799999999997134	681.77587890625	312.52522003606776	1.3e+03	1.6294770240783691	0:04
25.0%	12500	24.999999999997023	702.0037841796875	296.27708200322587	1.3e+03	1.6420869827270508	0:04
25.2%	12600	25.199999999996912	725.0363159179688	272.76439819432784	1.31e+03	1.6549198627471924	0:04
25.4%	12700	25.3999999999968	686.384765625	295.2911502262731	1.31e+03	1.6676979064941406	0:04
25.6%	12800	25.59999999999669	711.0784912109375	271.79857157863955	1.31e+03	1.6801929473876953	0:04
25.8%	12900	25.79999999999658	681.5877075195312	307.2948558055429	1.31e+03	1.6929357051849365	0:04
26.0%	13000	25.99999999999647	699.767822265625	269.24650802502134	1.31e+03	1.7052247524261475	0:04
26.2%	13100	26.199999999996358	663.16162109375	305.63179234740863	1.31e+03	1.7185180187225342	0:04
26.4%	13200	26.399999999996247	705.52294921875	315.42572204143727	1.31e+03	1.7327239513397217	0:04
26.6%	13300	26.599999999996136	747.8604736328125	317.56420181529137	1.31e+03	1.7462430000305176	0:04
26.8%	13400	26.799999999996025	689.632080078125	335.78264884833516	1.31e+03	1.7589969635009766	0:04
27.0%	13500	26.999999999995914	710.60302734375	303.39892250459525	1.31e+03	1.7717008590698242	0:04
