#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
27.4%	13700	27.399999999995693	822.1671142578125	298.0297164982404	1.27e+03	1.846081018447876	0:04
27.6%	13800	27.599999999995582	874.4200439453125	306.8467961160505	1.27e+03	1.8587110042572021	0:04
27.8%	13900	27.79999999999547	907.848388671875	284.7121485398931	1.27e+03	1.8722620010375977	0:04
28.0%	14000	27.99999999999536	879.5433349609375	301.22191346710235	1.27e+03	1.886031150817871	0:04
28.2%	14100	28.19999999999525	907.28759765625	307.3519112521528	1.27e+03	1.9008560180664062	0:04
28.4%	14200	28.39999999999514	932.69677734375	283.9347468866528	1.27e+03	1.913534164428711	0:04
28.6%	14300	28.599999999995028	840.788818359375	291.92245133068167	1.27e+03	1.925868034362793	0:04
28.8%	14400	28.799999999994917	847.89501953125	295.82516268716364	1.27e+03	1.9390881061553955	0:04
29.0%	14500	28.999999999994806	824.89013671875	281.8663787386836	1.27e+03	1.9530401229858398	0:04
29.2%	14600	29.199999999994695	819.6510009765625	307.1766043361571	1.27e+03	1.9671480655670166	0:04
29.4%	14700	29.399999999994584	822.0689697265625	302.0695972968354	1.27e+03	1.9805071353912354	0:04
29.6%	14800	29.599999999994473	818.088623046875	272.79952258192446	1.27e+03	1.9934310913085938	0:04
29.8%	14900	29.799999999994363	815.4414672851562	279.2307866254335	1.27e+03	2.006941080093384	0:04
30.0%	15000	29.99999999999425	809.0443725585938	292.1350394971027	1.28e+03	2.0189878940582275	0:04
30.2%	15100	30.19999999999414	817.8706665039062	294.2902117880237	1.28e+03	2.0327630043029785	0:04
30.4%	15200	30.39999999999403	840.029541015625	305.64585214268493	1.28e+03	2.046481132507324	0:04
30.6%	15300	30.59999999999392	859.8919067382812	285.73682991174326	1.28e+03	2.0600900650024414	0:04
30.8%	15400	30.79999999999381	815.236572265625	310.9460239965687	1.28e+03	2.0731701850891113	0:04
31.0%	15500	30.999999999993697	895.822265625	293.2915924890347	1.28e+03	2.085824966430664	0:04
31.2%	15600	31.199999999993587	890.2084350585938	309.61737127367707	1.28e+03	2.099431037902832	0:04
31.4%	15700	31.399999999993476	948.0336303710938	304.56277774337417	1.28e+03	2.113115072250366	0:04
31.6%	15800	31.599999999993365	937.1603393554688	307.11094326099146	1.28e+03	2.126699924468994	0:04
31.8%	15900	31.799999999993254	895.5767211914062	302.88028444845503	1.28e+03	2.1406869888305664	0:04
32.0%	16000	31.999999999993143	831.1411743164062	331.8945921032172	1.28e+03	2.1541690826416016	0:04
32.2%	16100	32.19999999999339	875.5194091796875	306.76628155354206	1.28e+03	2.167943239212036	0:04
32.4%	16200	32.39999999999363	862.1307373046875	279.2399872734677	1.28e+03	2.180659055709839	0:04
32.6%	16300	32.59999999999388	896.3831787109375	271.8780090617425	1.28e+03	2.193333864212036	0:04
32.8%	16400	32.79999999999412	879.3795166015625	290.904814640136	1.28e+03	2.2069449424743652	0:04
33.0%	16500	32.999999999994365	851.7658081054688	312.747323092354	1.28e+03	2.2190101146698	0:04
33.2%	16600	33.19999999999461	874.0761108398438	299.32158551585127	1.28e+03	2.232879161834717	0:04
33.4%	16700	33.399999999994854	900.2410888671875	312.9375887676591	1.28e+03	2.2463369369506836	0:04
33.6%	16800	33.5999999999951	883.79541015625	304.992423166946	1.28e+03	2.2597899436950684	0:04
33.8%	16900	33.79999999999534	847.8450927734375	302.41129110909037	1.28e+03	2.273320198059082	0:04
34.0%	17000	33.99999999999559	870.8253173828125	309.63427267316035	1.28e+03	2.286562919616699	0:04
34.2%	17100	34.19999999999583	883.5689697265625	289.0097820839815	1.28e+03	2.2996368408203125	0:04
34.4%	17200	34.399999999996076	846.6156005859375	298.8153383622115	1.28e+03	2.3133180141448975	0:04
34.6%	17300	34.59999999999632	817.500244140625	314.9529633181821	1.28e+03	2.3258559703826904	0:04
34.8%	17400	34.799999999996565	888.8187866210938	275.5096632200267	1.28e+03	2.338434934616089	0:04
35.0%	17500	34.99999999999681	791.4506225585938	284.41996025628396	1.28e+03	2.350985288619995	0:04
35.2%	17600	35.199999999997054	872.1524047851562	274.37998880817133	1.28e+03	2.3636841773986816	0:04
35.4%	17700	35.3999999999973	794.027587890625	318.81172676794364	1.28e+03	2.376297950744629	0:04
35.6%	17800	35.59999999999754	797.7059326171875	304.7700894167841	1.28e+03	2.388827085494995	0:04
35.8%	17900	35.79999999999779	763.840087890625	324.2045345644659	1.28e+03	2.4013919830322266	0:04
36.0%	18000	35.99999999999803	681.4798583984375	389.18025474008266	1.28e+03	2.4140450954437256	0:04
36.2%	18100	36.199999999998276	538.3113403320312	400.61328693346536	1.28e+03	2.427072048187256	0:04
36.4%	18200	36.39999999999852	575.7755126953125	376.7889727692795	1.28e+03	2.44123911857605	0:04
36.6%	18300	36.599999999998765	537.251953125	329.7670672000094	1.28e+03	2.4553608894348145	0:04
36.8%	18400	36.79999999999901	517.9470825195312	317.93993260996655	1.28e+03	2.4680240154266357	0:04
37.0%	18500	36.999999999999254	598.7332763671875	317.1591407827975	1.28e+03	2.4806461334228516	0:04
37.2%	18600	37.1999999999995	566.181640625	332.04775099520725	1.28e+03	2.494237184524536	0:04
37.4%	18700	37.39999999999974	514.2815551757812	336.4118829186382	1.28e+03	2.50681209564209	0:04
37.6%	18800	37.59999999999999	446.5209045410156	345.6912416186865	1.28e+03	2.5192501544952393	0:04
37.8%	18900	37.80000000000023	463.9163818359375	324.1492218945736	1.28e+03	2.531769037246704	0:04
38.0%	19000	38.000000000000476	486.8480529785156	280.8443794064869	1.28e+03	2.5456318855285645	0:04
38.2%	19100	38.20000000000072	498.07159423828125	290.9552835654681	1.28e+03	2.560131072998047	0:04
38.4%	19200	38.400000000000965	516.815673828125	304.1013698436475	1.28e+03	2.5726430416107178	0:04
38.6%	19300	38.60000000000121	492.3963623046875	306.98456539908636	1.28e+03	2.586498975753784	0:04
38.8%	19400	38.800000000001454	443.35528564453125	332.1652235905826	1.28e+03	2.598936080932617	0:04
39.0%	19500	39.0000000000017	373.9008483886719	362.9283134899016	1.28e+03	2.611401081085205	0:04
39.2%	19600	39.20000000000194	434.28607177734375	321.20440243111113	1.28e+03	2.6253161430358887	0:04
39.4%	19700	39.40000000000219	420.1741943359375	335.1870039753248	1.28e+03	2.6379711627960205	0:04
39.6%	19800	39.60000000000243	437.0508117675781	313.623355554333	1.28e+03	2.6505069732666016	0:04
39.8%	19900	39.800000000002676	430.2529602050781	299.8145487494382	1.28e+03	2.664339065551758	0:04
40.0%	20000	40.00000000000292	422.0155029296875	298.1176358106953	1.28e+03	2.678258180618286	0:04
40.2%	20100	40.200000000003165	446.568115234375	305.82216764940637	1.28e+03	2.6912310123443604	0:04
40.4%	20200	40.40000000000341	439.7020568847656	317.10856814188116	1.28e+03	2.7051119804382324	0:04
40.6%	20300	40.600000000003654	411.9298095703125	327.92249481158916	1.28e+03	2.7190310955047607	0:03
40.8%	20400	40.8000000000039	496.53076171875	278.8789851313086	1.28e+03	2.7330732345581055	0:03
41.0%	20500	41.00000000000414	398.49713134765625	317.7545698374683	1.28e+03	2.745777130126953	0:03
41.2%	20600	41.20000000000439	404.1685485839844	265.76938482759385	1.28e+03	2.7599260807037354	0:03
41.4%	20700	41.40000000000463	350.47491455078125	288.8360825345343	1.28e+03	2.7725329399108887	0:03
41.6%	20800	41.600000000004876	362.5155029296875	278.7946404063937	1.28e+03	2.7851932048797607	0:03
41.8%	20900	41.80000000000512	399.71405029296875	251.48781356224947	1.28e+03	2.7991750240325928	0:03
42.0%	21000	42.000000000005365	348.2112731933594	301.2575057696266	1.28e+03	2.813175916671753	0:03
42.2%	21100	42.20000000000561	335.10382080078125	305.89161891232203	1.28e+03	2.825949192047119	0:03
42.4%	21200	42.40000000000585	370.0753479003906	283.7285819451758	1.28e+03	2.8401150703430176	0:03
42.6%	21300	42.6000000000061	402.08172607421875	284.1988182532676	1.28e+03	2.8525071144104004	0:03
42.8%	21400	42.80000000000634	421.17218017578125	297.6723091422008	1.28e+03	2.8649299144744873	0:03
43.0%	21500	43.00000000000659	383.54840087890625	299.8517980272128	1.29e+03	2.8774940967559814	0:03
43.2%	21600	43.20000000000683	365.22796630859375	300.7254782925295	1.29e+03	2.8901212215423584	0:03
43.4%	21700	43.400000000007076	374.12762451171875	274.58977618415184	1.29e+03	2.902351140975952	0:03
43.6%	21800	43.60000000000732	353.2469177246094	272.62287070012275	1.29e+03	2.9148709774017334	0:03
43.8%	21900	43.800000000007564	382.6822204589844	298.7861829491565	1.29e+03	2.928960084915161	0:03
44.0%	22000	44.00000000000781	337.71734619140625	325.47369088509885	1.29e+03	2.94136905670166	0:03
44.2%	22100	44.20000000000805	300.52545166015625	286.195199881039	1.29e+03	2.9557571411132812	0:03
44.4%	22200	44.4000000000083	296.9972839355469	286.44124275524655	1.29e+03	2.970144033432007	0:03
44.6%	22300	44.60000000000854	333.605224609375	278.59454340729064	1.29e+03	2.9828882217407227	0:03
44.8%	22400	44.80000000000879	304.8255615234375	302.23320609006976	1.29e+03	2.9955830574035645	0:03
45.0%	22500	45.00000000000903	395.81011962890625	312.70105667816216	1.29e+03	3.008012056350708	0:03
