#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
27.8%	13900	27.79999999999547	-371.5435649389593	231.53412560988951	434	5.494679927825928	0:14
28.0%	14000	27.99999999999536	-395.4157268041937	247.91858687254074	433	5.540838003158569	0:14
28.2%	14100	28.19999999999525	-377.2214213842718	227.37280349402758	433	5.585803985595703	0:14
28.4%	14200	28.39999999999514	-395.1168071264593	262.38707093367833	433	5.629482984542847	0:14
28.6%	14300	28.599999999995028	-382.24220385497495	263.88590753756796	432	5.676074981689453	0:14
28.8%	14400	28.799999999994917	-379.6917582983343	236.0202681549758	432	5.720977067947388	0:14
29.0%	14500	28.999999999994806	-377.8090678686468	232.9892892520064	432	5.765836000442505	0:14
29.2%	14600	29.199999999994695	-374.8842326635687	255.47317968075618	431	5.808679819107056	0:14
29.4%	14700	29.399999999994584	-367.44630541747495	248.1790203274916	431	5.851258039474487	0:14
29.6%	14800	29.599999999994473	-386.3936320776312	343.59936160731434	431	5.896044969558716	0:14
29.8%	14900	29.799999999994363	-350.8500834936468	240.91481935181028	431	5.940422058105469	0:14
30.0%	15000	29.99999999999425	-387.0168010229437	309.377424195387	430	5.986217975616455	0:14
30.2%	15100	30.19999999999414	-375.8829204077093	249.91155258810497	430	6.032793045043945	0:14
30.4%	15200	30.39999999999403	-353.3464213842718	271.938793867889	430	6.073641777038574	0:13
30.6%	15300	30.59999999999392	-377.15602221434995	271.6172611358265	429	6.117142915725708	0:13
30.8%	15400	30.79999999999381	-369.31791796630307	258.45053602705593	429	6.15901780128479	0:13
31.0%	15500	30.999999999993697	-374.3978129858343	362.6109412112861	429	6.203986883163452	0:13
31.2%	15600	31.199999999993587	-369.42176928466245	431.9685056893209	429	6.247035026550293	0:13
31.4%	15700	31.399999999993476	-376.0936137670843	362.8922345337646	429	6.285460948944092	0:13
31.6%	15800	31.599999999993365	-383.6940471166937	366.97159693745795	429	6.325416803359985	0:13
31.8%	15900	31.799999999993254	-371.40663256591245	288.6350830221785	429	6.365912914276123	0:13
32.0%	16000	31.999999999993143	-378.3372661108343	291.6022458554676	429	6.408553838729858	0:13
32.2%	16100	32.19999999999339	-374.4765178198187	290.01518401607655	428	6.453552961349487	0:13
32.4%	16200	32.39999999999363	-380.6950236791937	261.95102981858645	428	6.49734091758728	0:13
32.6%	16300	32.59999999999388	-375.4212199682562	316.49922209629443	428	6.5414838790893555	0:13
32.8%	16400	32.79999999999412	-388.0316020483343	303.0319903493303	428	6.583390951156616	0:13
33.0%	16500	32.999999999994365	-360.65089526122495	236.9953776208351	428	6.625245809555054	0:13
33.2%	16600	33.19999999999461	-382.65419115966245	232.0634084414639	428	6.66454005241394	0:13
33.4%	16700	33.399999999994854	-380.8720256323187	218.31425215997382	428	6.701794862747192	0:13
33.6%	16800	33.5999999999951	-382.2275248998968	208.74415800403068	428	6.738846778869629	0:13
33.8%	16900	33.79999999999534	-367.6012736791937	236.59832361714965	429	6.77485990524292	0:13
34.0%	17000	33.99999999999559	-371.25346484130307	252.0343426742523	429	6.812960863113403	0:13
34.2%	17100	34.19999999999583	-380.1881877416937	348.1776845293758	429	6.85345196723938	0:13
34.4%	17200	34.399999999996076	-361.20460619872495	297.7514080013297	428	6.896337032318115	0:13
34.6%	17300	34.59999999999632	-377.7129985327093	363.0758721956629	428	6.93983793258667	0:13
34.8%	17400	34.799999999996565	-383.75807299559995	324.03059501124557	428	6.982034921646118	0:13
35.0%	17500	34.99999999999681	-383.36674609130307	380.8762977032011	428	7.024867057800293	0:13
35.2%	17600	35.199999999997054	-351.1460734838812	316.7231484233449	428	7.067414999008179	0:13
35.4%	17700	35.3999999999973	-358.29521288817807	312.11370297178195	428	7.1091837882995605	0:13
35.6%	17800	35.59999999999754	-376.5318156713812	333.43338045794724	428	7.152698993682861	0:13
35.8%	17900	35.79999999999779	-370.2095805639593	384.5928885163029	427	7.195659875869751	0:12
36.0%	18000	35.99999999999803	-380.8876506323187	427.10289215371137	428	7.23366904258728	0:12
36.2%	18100	36.199999999998276	-368.7894145483343	341.29769174104956	428	7.272198915481567	0:12
36.4%	18200	36.39999999999852	-357.4052592748968	288.03167632543654	428	7.309787034988403	0:12
36.6%	18300	36.599999999998765	-377.6149455541937	306.17987947901327	428	7.351900815963745	0:12
36.8%	18400	36.79999999999901	-372.02467455809995	261.3417868298728	428	7.390108823776245	0:12
