#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
48.8%	24400	48.800000000013675	-8805.796875	307.4503555728039	337	12.460714340209961	0:13
49.0%	24500	49.00000000001392	-8422.8173828125	299.99703799250614	337	12.510735273361206	0:13
49.2%	24600	49.200000000014164	-8534.046875	294.5020604047064	337	12.56044316291809	0:13
49.4%	24700	49.40000000001441	-8773.279296875	305.6596609078291	337	12.611615419387817	0:12
49.6%	24800	49.60000000001465	-8807.9072265625	309.1659899744849	337	12.661641359329224	0:12
49.8%	24900	49.8000000000149	-8610.541015625	301.3081962552368	337	12.712619066238403	0:12
50.0%	25000	50.00000000001514	-8692.7060546875	302.5887904725533	337	12.763176202774048	0:12
50.2%	25100	50.200000000015386	-8684.3134765625	295.5143085556428	337	12.813592195510864	0:12
50.4%	25200	50.40000000001563	-8784.466796875	307.9151486645305	337	12.86255931854248	0:12
50.6%	25300	50.600000000015875	-8705.2822265625	302.070388885839	337	12.913899183273315	0:12
50.8%	25400	50.80000000001612	-8695.6826171875	302.68048575162305	337	12.964806318283081	0:12
51.0%	25500	51.000000000016364	-8532.4296875	306.53954187708376	337	13.015985250473022	0:12
51.2%	25600	51.20000000001661	-8631.90625	297.8630523070364	337	13.06557321548462	0:12
51.4%	25700	51.40000000001685	-8694.708984375	299.8141165892045	337	13.115792274475098	0:12
51.6%	25800	51.6000000000171	-8917.591796875	307.4695721642939	337	13.165716409683228	0:12
51.8%	25900	51.80000000001734	-8890.2685546875	298.98122269902296	337	13.217050313949585	0:12
52.0%	26000	52.000000000017586	-8874.3427734375	299.4827605953676	337	13.268786191940308	0:12
52.2%	26100	52.20000000001783	-8926.1591796875	299.1717347754912	337	13.32144832611084	0:12
52.4%	26200	52.400000000018075	-9016.93359375	303.36816371202883	337	13.371621131896973	0:12
52.6%	26300	52.60000000001832	-8892.9091796875	300.8114545479847	337	13.428114175796509	0:12
52.8%	26400	52.800000000018564	-8972.59765625	299.6815280402488	337	13.47979211807251	0:12
53.0%	26500	53.00000000001881	-8889.2080078125	302.52501041136196	337	13.529487133026123	0:12
53.2%	26600	53.20000000001905	-9026.1875	306.89028168315315	337	13.581568002700806	0:11
53.4%	26700	53.4000000000193	-8838.9326171875	307.0409598061974	337	13.633275270462036	0:11
53.6%	26800	53.60000000001954	-8847.7490234375	302.03281774705664	337	13.682538270950317	0:11
53.8%	26900	53.800000000019786	-8913.7529296875	303.6278072012166	337	13.734321355819702	0:11
54.0%	27000	54.00000000002003	-8802.53515625	299.15901260800007	337	13.783815383911133	0:11
54.2%	27100	54.200000000020275	-9046.685546875	300.7816561763622	337	13.835549354553223	0:11
54.4%	27200	54.40000000002052	-8975.7080078125	305.5677175306599	337	13.885662317276001	0:11
54.6%	27300	54.60000000002076	-8891.630859375	299.71027014707397	337	13.936629056930542	0:11
54.8%	27400	54.80000000002101	-8764.7109375	303.26413796453386	337	13.987106084823608	0:11
55.0%	27500	55.00000000002125	-8882.8681640625	302.9166810563089	337	14.037229061126709	0:11
55.2%	27600	55.2000000000215	-8742.85546875	306.50129936014963	337	14.087491273880005	0:11
55.4%	27700	55.40000000002174	-8763.7626953125	305.952519490842	337	14.138473272323608	0:11
55.6%	27800	55.600000000021986	-9027.392578125	302.3850733815671	337	14.18994927406311	0:11
55.8%	27900	55.80000000002223	-8800.9755859375	299.8860464606296	337	14.241412162780762	0:11
56.0%	28000	56.000000000022474	-8756.0341796875	299.3941633180061	337	14.292017221450806	0:11
56.2%	28100	56.20000000002272	-8842.291015625	297.3816729319166	337	14.343447208404541	0:11
56.4%	28200	56.40000000002296	-8829.1552734375	301.43819603871304	337	14.394950151443481	0:11
56.6%	28300	56.60000000002321	-8938.7568359375	305.3412061973295	336	14.490780353546143	0:11
56.8%	28400	56.80000000002345	-9009.86328125	304.7683442513164	336	14.541880130767822	0:11
57.0%	28500	57.0000000000237	-8947.8212890625	293.31353689852136	336	14.591868162155151	0:11
