#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
37.2%	18600	37.1999999999995	-8845.96875	298.9778171597881	336	9.50990891456604	0:16
37.4%	18700	37.39999999999974	-8766.783203125	301.6578217907368	336	9.560671091079712	0:16
37.6%	18800	37.59999999999999	-8705.73046875	296.79914438460077	336	9.61163592338562	0:16
37.8%	18900	37.80000000000023	-8850.1826171875	305.73737276665133	336	9.662539005279541	0:15
38.0%	19000	38.000000000000476	-8863.01171875	297.8350544640984	336	9.713403224945068	0:15
38.2%	19100	38.20000000000072	-8664.705078125	295.90966190082685	336	9.765107154846191	0:15
38.4%	19200	38.400000000000965	-8756.31640625	299.96454498429915	336	9.815965175628662	0:15
38.6%	19300	38.60000000000121	-8946.84765625	306.3121228426345	336	9.866801261901855	0:15
38.8%	19400	38.800000000001454	-8713.52734375	297.10469272535414	336	9.917412042617798	0:15
39.0%	19500	39.0000000000017	-8926.4404296875	300.66167726262717	336	9.967153072357178	0:15
39.2%	19600	39.20000000000194	-9203.103515625	298.19752601526125	336	10.01819109916687	0:15
39.4%	19700	39.40000000000219	-8887.46484375	299.30063848354257	336	10.067545175552368	0:15
39.6%	19800	39.60000000000243	-8720.8544921875	302.60374941059735	336	10.118438243865967	0:15
39.8%	19900	39.800000000002676	-8749.21875	303.4048454052497	336	10.169697046279907	0:15
40.0%	20000	40.00000000000292	-8720.267578125	298.38822016603024	336	10.219192028045654	0:15
40.2%	20100	40.200000000003165	-8727.681640625	300.03574790708535	336	10.271010160446167	0:15
40.4%	20200	40.40000000000341	-8852.326171875	305.80932649907703	337	10.320433139801025	0:15
40.6%	20300	40.600000000003654	-8921.642578125	301.89179848772903	337	10.37191390991211	0:15
40.8%	20400	40.8000000000039	-8694.5546875	296.9804766833208	337	10.421473026275635	0:15
41.0%	20500	41.00000000000414	-8858.955078125	296.3454880389356	337	10.471177101135254	0:15
41.2%	20600	41.20000000000439	-8874.0234375	302.77095552723904	337	10.52058219909668	0:15
41.4%	20700	41.40000000000463	-8876.4072265625	293.73341747766904	337	10.572680234909058	0:15
41.6%	20800	41.600000000004876	-8871.5185546875	296.7415563037467	337	10.622450113296509	0:14
41.8%	20900	41.80000000000512	-8958.57421875	297.53019768282195	337	10.672775268554688	0:14
42.0%	21000	42.000000000005365	-8757.501953125	295.625905966996	337	10.722398042678833	0:14
42.2%	21100	42.20000000000561	-8972.9814453125	300.7968027777027	337	10.772962093353271	0:14
42.4%	21200	42.40000000000585	-8833.904296875	298.32289767324875	337	10.822855234146118	0:14
42.6%	21300	42.6000000000061	-8759.9794921875	297.77356769463216	337	10.872814178466797	0:14
42.8%	21400	42.80000000000634	-8713.201171875	301.55825182250106	337	10.92270016670227	0:14
43.0%	21500	43.00000000000659	-8721.7568359375	295.68135900346863	337	10.974581956863403	0:14
43.2%	21600	43.20000000000683	-8733.78515625	296.9289079036711	337	11.024417161941528	0:14
43.4%	21700	43.400000000007076	-8838.3095703125	300.20327106890124	337	11.075760126113892	0:14
43.6%	21800	43.60000000000732	-8922.169921875	287.26443985381866	337	11.127103090286255	0:14
43.8%	21900	43.800000000007564	-8751.06640625	292.0461698211728	337	11.177277326583862	0:14
44.0%	22000	44.00000000000781	-8989.9150390625	303.28051842115724	337	11.227084159851074	0:14
44.2%	22100	44.20000000000805	-9032.21484375	299.6953060315742	337	11.277750015258789	0:14
44.4%	22200	44.4000000000083	-8860.4189453125	297.3208978867027	337	11.328655242919922	0:14
44.6%	22300	44.60000000000854	-8780.6181640625	290.47619114258754	337	11.380313158035278	0:14
44.8%	22400	44.80000000000879	-9040.6376953125	295.4048095587867	337	11.431400299072266	0:14
45.0%	22500	45.00000000000903	-8964.8349609375	297.9874922920494	337	11.481149196624756	0:14
45.2%	22600	45.200000000009275	-8866.7041015625	297.2570099870412	337	11.532288074493408	0:14
45.4%	22700	45.40000000000952	-8905.7265625	297.52112003674466	337	11.58282208442688	0:13
45.6%	22800	45.600000000009764	-8727.9130859375	295.1792453677099	337	11.633954048156738	0:13
45.8%	22900	45.80000000001001	-8875.6240234375	296.80466688310406	337	11.685229063034058	0:13
46.0%	23000	46.00000000001025	-9060.365234375	305.6866304201892	337	11.734868049621582	0:13
46.2%	23100	46.2000000000105	-8872.76171875	301.668989136942	337	11.786525964736938	0:13
46.4%	23200	46.40000000001074	-8848.8359375	298.2200508827663	337	11.837904214859009	0:13
46.6%	23300	46.600000000010986	-8959.736328125	291.6224103492427	337	11.889135122299194	0:13
46.8%	23400	46.80000000001123	-8893.6015625	296.09242693679784	337	11.940304040908813	0:13
47.0%	23500	47.000000000011475	-8818.671875	296.64616913501953	336	12.032073020935059	0:13
47.2%	23600	47.20000000001172	-8792.783203125	298.48013096923614	336	12.084092140197754	0:13
47.4%	23700	47.400000000011964	-8799.8544921875	300.11108557529906	336	12.13416314125061	0:13
47.6%	23800	47.60000000001221	-8752.9658203125	300.09885176713016	336	12.184003114700317	0:13
47.8%	23900	47.80000000001245	-8999.8759765625	303.20153188889185	336	12.23399806022644	0:13
48.0%	24000	48.0000000000127	-8907.51171875	299.08216831611355	336	12.284598112106323	0:13
48.2%	24100	48.20000000001294	-8793.279296875	305.8862143334313	336	12.336007118225098	0:13
48.4%	24200	48.400000000013186	-8776.6533203125	311.78558875398875	336	12.387089252471924	0:13
48.6%	24300	48.60000000001343	-8678.142578125	302.9611530228629	336	12.440140008926392	0:13
